ID,Breed,Breed Size,Sex,Age,Weight (lbs),Spay/Neuter Status,Daily Activity Level,Diet,Food Brand,Daily Walk Distance (miles),Other Pets in Household,Medications,Seizures,Hours of Sleep,Play Time (hrs),Owner Activity Level,Annual Vet Visits,Average Temperature (F),Synthetic,Healthy
13,Boxer,Medium,Male,5.0,33.0,Neutered,Low,Special diet,Wellness,2.0,Yes,Yes,No,10.0,1.0,None,1.0,37.0,Yes,
14,German Shepherd,Large,Female,10.0,56.0,Spayed,None,Hard food,Royal Canin,3.0,Yes,No,No,10.0,,Low,1.0,90.0,Yes,Yes
15,Golden Retriever,Large,Male,8.0,67.0,Spayed,Low,Home cooked,Special,2.0,Yes,No,No,10.0,0.0,Moderate,0.0,42.0,Yes,
16,Poodle,Small,Male,13.0,48.0,Spayed,Very Active,Hard food,Wellness,3.0,No,No,Yes,8.0,2.0,None,4.0,54.0,Yes,Yes
17,Doberman,Large,Male,4.0,66.0,Spayed,Very Active,Hard food,Royal Canin,2.0,No,No,No,11.0,1.0,None,1.0,77.0,Yes,Yes
18,Boxer,Medium,Female,2.0,46.0,Spayed,Active,Special diet,Nutro,2.0,No,Yes,No,8.0,2.0,Moderate,1.0,48.0,Yes,Yes
19,Bulldog,Medium,Female,11.0,87.0,None,Low,Special diet,Purina,3.0,No,No,No,13.0,2.0,Active,0.0,70.0,Yes,No
20,Great Dane,Large,Female,11.0,44.0,None,None,Hard food,Purina,4.0,Yes,No,No,10.0,1.0,Active,0.0,63.0,Yes,No
21,Poodle,Small,Female,7.0,46.0,Neutered,Very Active,,Wellness,,Yes,No,No,11.0,0.0,Active,2.0,70.0,Yes,Yes
22,Chihuahua,Small,Male,3.0,26.0,None,None,Special diet,Iams,3.0,No,Yes,No,12.0,1.0,Very Active,1.0,82.0,Yes,Yes
23,German Shepherd,Large,Female,11.0,38.0,Spayed,Very Active,Wet food,Purina,1.0,Yes,No,No,12.0,1.0,Moderate,1.0,100.0,Yes,Yes
24,Bulldog,Medium,Male,9.0,65.0,Neutered,None,Special diet,Wellness,3.0,No,No,No,12.0,1.0,Very Active,,74.0,Yes,Yes
25,Great Dane,Large,Male,6.0,65.0,None,Low,Special diet,Blue Buffalo,1.0,Yes,Yes,No,8.0,,Moderate,1.0,74.0,Yes,Yes
26,Chihuahua,Small,Male,10.0,15.0,Neutered,Moderate,Wet food,Wellness,3.0,No,Yes,No,8.0,3.0,Moderate,1.0,72.0,Yes,No
27,Beagle,Small,Male,11.0,52.0,Neutered,Active,Special diet,Nutro,4.0,Yes,Yes,No,11.0,1.0,Active,0.0,75.0,Yes,Yes
28,Poodle,Small,Female,13.0,32.0,Neutered,Moderate,Wet food,Pedigree,4.0,No,No,,13.0,2.0,Low,2.0,66.0,Yes,Yes
29,Siberian Husky,Medium,Female,13.0,26.0,None,Very Active,Hard food,Hill's Science,5.0,No,No,No,10.0,1.0,Very Active,2.0,54.0,Yes,Yes
30,Rottweiler,Large,Male,2.0,66.0,Neutered,Active,Home cooked,Special,1.0,Yes,Yes,No,14.0,1.0,Moderate,1.0,43.0,Yes,Yes
31,Poodle,Small,Male,13.0,,Neutered,Moderate,Hard food,Iams,0.0,No,,No,10.0,2.0,Active,2.0,61.0,Yes,Yes
32,German Shepherd,Large,Female,5.0,63.0,Neutered,None,Special diet,Nutro,4.0,No,No,No,10.0,2.0,Moderate,0.0,61.0,Yes,Yes
33,Rottweiler,Large,Female,13.0,43.0,None,None,Special diet,Nutro,4.0,No,Yes,No,11.0,1.0,None,3.0,33.0,Yes,No
34,Australian Shepherd,Medium,Male,10.0,69.0,Spayed,Very Active,Hard food,Wellness,1.0,No,No,No,10.0,3.0,Very Active,4.0,52.0,Yes,Yes
35,Australian Shepherd,Medium,Male,8.0,56.0,None,Low,Special diet,Wellness,3.0,No,No,No,12.0,2.0,Low,2.0,82.0,Yes,Yes
36,Bulldog,Medium,Male,2.0,58.0,Neutered,Active,Wet food,Wellness,2.0,No,Yes,No,9.0,1.0,Active,2.0,70.0,Yes,Yes
37,Siberian Husky,Medium,Female,4.0,69.0,None,None,Hard food,Purina,2.0,Yes,No,Yes,11.0,0.0,Active,1.0,40.0,Yes,No
38,Rottweiler,Large,Female,13.0,27.0,Neutered,Very Active,Home cooked,Special,0.0,Yes,Yes,No,13.0,1.0,Active,2.0,99.0,Yes,Yes
39,Golden Retriever,Large,Female,9.0,65.0,Spayed,Moderate,Wet food,Purina,3.0,Yes,Yes,No,9.0,2.0,Active,2.0,48.0,Yes,No
40,Dachshund,Small,Male,10.0,51.0,Neutered,Low,Wet food,Wellness,3.0,Yes,No,No,12.0,,Very Active,2.0,93.0,Yes,Yes
41,Australian Shepherd,,Female,12.0,59.0,Neutered,None,Home cooked,Special,6.0,No,No,Yes,10.0,2.0,Low,1.0,68.0,Yes,Yes
42,Poodle,Small,Female,9.0,31.0,Neutered,Low,Special diet,Pedigree,4.0,No,No,No,13.0,2.0,Moderate,0.0,55.0,Yes,Yes
43,Bulldog,Medium,,12.0,33.0,Spayed,Moderate,Wet food,Wellness,3.0,Yes,Yes,No,12.0,3.0,Very Active,0.0,,Yes,No
44,Great Dane,Large,Male,2.0,69.0,None,,Hard food,Wellness,1.0,No,No,No,11.0,0.0,Moderate,1.0,67.0,Yes,Yes
45,Yorkshire Terrier,Small,Female,2.0,45.0,Neutered,Low,Hard food,Wellness,3.0,No,No,No,9.0,1.0,None,0.0,74.0,Yes,Yes
46,Golden Retriever,Large,Male,4.0,64.0,None,Active,Wet food,Royal Canin,5.0,No,No,No,12.0,,Moderate,2.0,69.0,Yes,Yes
47,Chihuahua,Small,Female,13.0,10.0,None,Low,Wet food,Blue Buffalo,0.0,Yes,No,No,13.0,1.0,Very Active,0.0,54.0,Yes,No
48,Great Dane,Large,Female,12.0,41.0,Spayed,Moderate,Hard food,Blue Buffalo,3.0,Yes,No,No,10.0,1.0,None,0.0,56.0,Yes,No
49,Rottweiler,Large,,,48.0,Spayed,None,Wet food,Pedigree,4.0,No,No,No,12.0,0.0,,0.0,49.0,Yes,No
50,Poodle,Small,Female,9.0,61.0,None,Active,Special diet,Nutro,1.0,No,No,No,10.0,2.0,,0.0,47.0,Yes,Yes
51,Siberian Husky,Medium,Female,8.0,49.0,Neutered,Active,Wet food,Hill's Science,3.0,No,No,No,13.0,2.0,Low,1.0,80.0,Yes,Yes
52,Rottweiler,Large,Female,11.0,59.0,Spayed,Moderate,Hard food,Iams,1.0,Yes,Yes,No,10.0,1.0,Active,0.0,40.0,Yes,No
53,German Shepherd,Large,Female,5.0,46.0,None,Moderate,Wet food,Hill's Science,3.0,No,Yes,No,10.0,3.0,Active,3.0,75.0,Yes,No
54,Poodle,Small,Female,7.0,34.0,None,None,Special diet,Wellness,1.0,Yes,Yes,No,12.0,1.0,None,1.0,73.0,Yes,Yes
55,Boxer,Medium,Female,12.0,45.0,Spayed,None,Wet food,Nutro,4.0,No,Yes,Yes,12.0,3.0,Active,1.0,74.0,Yes,No
56,German Shepherd,Large,Female,4.0,26.0,Neutered,Low,Home cooked,Special,6.0,No,Yes,No,10.0,1.0,None,3.0,67.0,Yes,
57,Labrador Retriever,Large,Female,8.0,60.0,Spayed,,Wet food,Iams,3.0,No,Yes,No,11.0,2.0,,1.0,43.0,Yes,Yes
58,German Shepherd,Large,Female,2.0,77.0,Spayed,Moderate,Hard food,Iams,2.0,No,No,,11.0,1.0,,4.0,45.0,Yes,Yes
59,Labrador Retriever,Large,Female,6.0,62.0,Spayed,Low,Hard food,Wellness,2.0,No,No,No,10.0,1.0,Moderate,2.0,64.0,Yes,Yes
60,Poodle,Small,Male,7.0,66.0,Neutered,None,Wet food,Hill's Science,2.0,Yes,No,No,10.0,,None,3.0,50.0,Yes,Yes
61,Doberman,Large,Male,8.0,42.0,Neutered,Low,Special diet,Purina,3.0,Yes,No,No,12.0,2.0,Moderate,3.0,64.0,Yes,Yes
62,Bulldog,Medium,Male,12.0,62.0,Neutered,Moderate,Wet food,Iams,0.0,Yes,No,Yes,9.0,1.0,Very Active,1.0,68.0,Yes,No
63,Golden Retriever,Large,Male,1.0,75.0,Spayed,Active,Wet food,Blue Buffalo,2.0,No,Yes,No,12.0,0.0,None,0.0,44.0,Yes,No
64,Labrador Retriever,Large,Female,4.0,40.0,Neutered,Very Active,Hard food,Purina,3.0,No,No,No,13.0,0.0,Active,2.0,57.0,,Yes
65,Australian Shepherd,,Male,8.0,63.0,None,None,Hard food,Blue Buffalo,3.0,Yes,No,No,10.0,3.0,Very Active,0.0,54.0,Yes,No
66,Beagle,Small,Female,13.0,41.0,None,Active,Wet food,Purina,4.0,No,No,No,12.0,1.0,Active,0.0,69.0,Yes,No
67,Yorkshire Terrier,Small,Male,11.0,63.0,Spayed,Low,,Iams,3.0,No,No,No,12.0,1.0,None,0.0,55.0,Yes,Yes
68,Boxer,Medium,Male,5.0,38.0,Neutered,Active,Hard food,Royal Canin,2.0,Yes,No,No,12.0,3.0,Active,3.0,35.0,Yes,Yes
69,Labrador Retriever,Large,Male,10.0,52.0,None,Low,Home cooked,Special,2.0,No,Yes,Yes,10.0,2.0,Low,3.0,50.0,Yes,No
70,Golden Retriever,Large,Female,5.0,71.0,Spayed,Moderate,Home cooked,Special,2.0,Yes,No,No,10.0,2.0,Low,1.0,,Yes,Yes
71,Beagle,Small,Male,9.0,30.0,Neutered,Moderate,Hard food,Purina,2.0,Yes,Yes,,11.0,0.0,Active,4.0,59.0,Yes,No
72,Golden Retriever,Large,Male,1.0,35.0,None,None,Hard food,Royal Canin,6.0,Yes,Yes,No,14.0,1.0,Active,1.0,64.0,Yes,No
73,Boxer,Medium,,10.0,41.0,None,Very Active,Special diet,Royal Canin,5.0,Yes,Yes,No,11.0,3.0,Active,2.0,78.0,Yes,Yes
74,Doberman,Large,Female,9.0,51.0,None,Moderate,Special diet,Blue Buffalo,2.0,No,Yes,No,9.0,2.0,Active,1.0,75.0,Yes,No
75,Dachshund,Small,Female,13.0,62.0,Neutered,Low,,Wellness,4.0,Yes,Yes,No,12.0,2.0,None,0.0,68.0,Yes,No
76,Dachshund,Small,Female,10.0,55.0,Spayed,Moderate,Home cooked,Special,1.0,Yes,Yes,No,12.0,2.0,None,4.0,53.0,Yes,Yes
77,Golden Retriever,Large,Female,9.0,,Neutered,None,Home cooked,Special,2.0,,No,No,11.0,1.0,None,1.0,79.0,Yes,Yes
78,Australian Shepherd,Medium,Female,13.0,84.0,Spayed,Low,Home cooked,Special,2.0,No,Yes,No,13.0,1.0,Very Active,0.0,78.0,Yes,No
79,Yorkshire Terrier,,Female,13.0,14.0,Neutered,None,Special diet,Wellness,2.0,Yes,Yes,No,12.0,1.0,Moderate,3.0,,Yes,No
80,Beagle,Small,Female,6.0,56.0,Spayed,Moderate,Wet food,,,No,No,No,12.0,2.0,None,0.0,86.0,Yes,Yes
81,Yorkshire Terrier,Small,,2.0,29.0,Spayed,None,Hard food,Nutro,1.0,No,Yes,No,10.0,3.0,Very Active,3.0,66.0,Yes,Yes
82,Bulldog,Medium,Male,11.0,34.0,Spayed,Moderate,Home cooked,Special,2.0,,No,Yes,9.0,3.0,Low,3.0,66.0,Yes,Yes
83,Boxer,Medium,Male,9.0,57.0,None,Very Active,Home cooked,Special,3.0,No,Yes,No,12.0,1.0,Moderate,1.0,53.0,Yes,Yes
84,Rottweiler,Large,Male,11.0,71.0,Neutered,Very Active,Special diet,Iams,5.0,Yes,No,No,14.0,1.0,Moderate,1.0,75.0,Yes,Yes
85,Yorkshire Terrier,Small,Male,12.0,73.0,Neutered,Very Active,Home cooked,Special,2.0,Yes,No,No,10.0,2.0,Low,0.0,84.0,Yes,Yes
86,Great Dane,,Female,,57.0,Spayed,Low,Special diet,Nutro,3.0,Yes,Yes,Yes,10.0,3.0,None,1.0,42.0,Yes,No
87,Dachshund,,Male,7.0,91.0,Spayed,Very Active,Home cooked,Special,2.0,Yes,Yes,No,11.0,0.0,Very Active,1.0,53.0,Yes,Yes
88,Poodle,Small,Male,1.0,30.0,None,Active,Wet food,Blue Buffalo,3.0,Yes,No,No,11.0,2.0,Moderate,2.0,78.0,Yes,Yes
89,Dachshund,Small,Male,9.0,22.0,Neutered,None,Home cooked,Special,3.0,Yes,Yes,No,9.0,1.0,Low,1.0,98.0,Yes,No
90,Chihuahua,Small,Male,2.0,49.0,None,Very Active,Home cooked,Special,1.0,Yes,No,No,13.0,1.0,Low,1.0,38.0,Yes,
91,Australian Shepherd,Medium,Female,12.0,43.0,None,Very Active,Special diet,Royal Canin,2.0,No,Yes,No,10.0,2.0,Active,1.0,92.0,Yes,Yes
92,Poodle,Small,Male,1.0,48.0,Spayed,Low,Wet food,Hill's Science,5.0,Yes,No,No,12.0,0.0,Active,0.0,66.0,Yes,No
93,Siberian Husky,Medium,Female,4.0,54.0,Neutered,Low,Home cooked,Special,2.0,Yes,Yes,No,10.0,3.0,Low,2.0,87.0,Yes,
94,Golden Retriever,Large,Male,2.0,43.0,,Low,Wet food,Pedigree,2.0,Yes,Yes,No,14.0,0.0,Moderate,1.0,58.0,Yes,Yes
95,Australian Shepherd,Medium,Male,3.0,76.0,Neutered,,Wet food,Purina,3.0,Yes,No,No,8.0,3.0,Active,2.0,76.0,Yes,Yes
96,Australian Shepherd,Medium,Female,,53.0,Neutered,Moderate,Special diet,Wellness,5.0,Yes,No,No,14.0,0.0,Active,3.0,58.0,Yes,Yes
97,Rottweiler,Large,Female,3.0,32.0,Neutered,None,Wet food,Royal Canin,4.0,No,No,No,10.0,1.0,Very Active,0.0,77.0,Yes,Yes
98,German Shepherd,Large,Female,10.0,37.0,Neutered,Very Active,Wet food,Hill's Science,3.0,No,No,No,11.0,2.0,Moderate,2.0,79.0,Yes,Yes
99,Australian Shepherd,Medium,Female,4.0,56.0,Neutered,Active,Special diet,Iams,3.0,Yes,No,No,9.0,0.0,None,1.0,36.0,,Yes
100,Chihuahua,Small,Female,9.0,76.0,Neutered,Low,Special diet,Purina,0.0,Yes,Yes,No,13.0,3.0,Low,1.0,31.0,Yes,Yes
101,Siberian Husky,Medium,Male,3.0,33.0,Spayed,None,Special diet,Blue Buffalo,2.0,Yes,Yes,No,10.0,2.0,Low,1.0,65.0,Yes,Yes
102,Poodle,Small,Male,5.0,33.0,Spayed,Low,Wet food,Purina,4.0,No,Yes,No,10.0,1.0,,1.0,37.0,Yes,Yes
103,Boxer,Medium,Male,5.0,38.0,None,Moderate,Home cooked,Special,4.0,No,Yes,No,12.0,2.0,None,2.0,50.0,Yes,Yes
104,Yorkshire Terrier,Small,Male,12.0,40.0,None,Low,Special diet,Purina,2.0,Yes,No,No,11.0,4.0,Active,1.0,78.0,Yes,Yes
105,Doberman,Large,Male,10.0,54.0,None,Very Active,Special diet,,3.0,Yes,Yes,No,,3.0,None,1.0,39.0,Yes,Yes
106,Golden Retriever,Large,Female,2.0,65.0,Neutered,Low,Special diet,Blue Buffalo,1.0,No,Yes,Yes,9.0,0.0,Very Active,0.0,50.0,Yes,No
107,,Medium,Male,7.0,,None,Active,Special diet,Iams,5.0,No,No,No,11.0,2.0,Low,0.0,53.0,Yes,Yes
108,Labrador Retriever,Large,Male,2.0,57.0,Neutered,Active,Home cooked,Special,0.0,No,Yes,,10.0,1.0,Low,1.0,70.0,Yes,Yes
109,Bulldog,Medium,Female,8.0,38.0,Neutered,Moderate,Hard food,Pedigree,2.0,Yes,No,No,9.0,1.0,None,2.0,77.0,Yes,Yes
110,Siberian Husky,Medium,Male,7.0,39.0,Spayed,Very Active,Special diet,Purina,3.0,No,Yes,No,12.0,1.0,Very Active,2.0,60.0,Yes,Yes
111,Chihuahua,Small,Female,8.0,45.0,Neutered,Moderate,Wet food,Royal Canin,2.0,,No,No,12.0,2.0,Very Active,0.0,94.0,Yes,Yes
112,Siberian Husky,Medium,Male,1.0,61.0,Neutered,Active,Wet food,Wellness,1.0,No,No,No,12.0,2.0,Moderate,1.0,69.0,Yes,Yes
113,Australian Shepherd,Medium,Male,5.0,43.0,Neutered,None,Special diet,Purina,5.0,No,Yes,No,12.0,0.0,Active,4.0,82.0,Yes,Yes
114,Yorkshire Terrier,Small,Female,8.0,92.0,None,Moderate,Special diet,Royal Canin,2.0,Yes,Yes,No,11.0,3.0,None,1.0,55.0,Yes,No
115,Doberman,Large,Female,9.0,,Spayed,None,Hard food,,2.0,Yes,No,No,13.0,0.0,Very Active,1.0,58.0,Yes,Yes
116,Bulldog,Medium,Female,9.0,25.0,Spayed,Very Active,Home cooked,Special,3.0,No,Yes,No,13.0,1.0,Active,2.0,100.0,Yes,Yes
117,Great Dane,Large,Female,11.0,60.0,Spayed,Active,Home cooked,Special,1.0,No,No,No,12.0,1.0,Very Active,2.0,75.0,Yes,Yes
118,Poodle,Small,Male,8.0,66.0,Neutered,Active,Home cooked,Special,1.0,No,Yes,No,13.0,2.0,None,0.0,72.0,Yes,Yes
119,Doberman,Large,Male,12.0,34.0,Neutered,Low,Home cooked,Special,3.0,No,Yes,No,13.0,2.0,None,0.0,51.0,Yes,No
120,German Shepherd,Large,Male,,56.0,None,Low,Hard food,Royal Canin,3.0,Yes,,No,9.0,1.0,None,0.0,76.0,Yes,No
121,Beagle,Small,Male,6.0,63.0,Spayed,Low,Home cooked,Special,2.0,Yes,No,Yes,9.0,2.0,Low,1.0,100.0,,Yes
122,Doberman,,Male,7.0,39.0,Neutered,Low,Home cooked,Special,2.0,No,No,No,10.0,2.0,Moderate,4.0,72.0,Yes,Yes
123,Labrador Retriever,Large,Female,13.0,10.0,Neutered,,Home cooked,Special,2.0,Yes,Yes,,10.0,2.0,Low,1.0,88.0,Yes,Yes
124,Yorkshire Terrier,Small,Female,1.0,41.0,None,Very Active,Special diet,Hill's Science,3.0,No,Yes,No,11.0,0.0,Low,,66.0,Yes,Yes
125,Beagle,Small,Male,,29.0,Neutered,Moderate,,Blue Buffalo,2.0,No,No,No,14.0,1.0,Very Active,0.0,75.0,Yes,Yes
126,Yorkshire Terrier,Small,Female,10.0,51.0,Spayed,None,Special diet,Royal Canin,4.0,Yes,Yes,No,13.0,3.0,Low,3.0,66.0,Yes,Yes
127,Golden Retriever,Large,Male,9.0,60.0,Spayed,Moderate,Special diet,Nutro,3.0,No,Yes,Yes,10.0,1.0,Low,0.0,44.0,Yes,No
128,Siberian Husky,Medium,,8.0,58.0,None,Active,Home cooked,Special,2.0,No,Yes,No,,1.0,None,2.0,54.0,Yes,Yes
129,Boxer,Medium,Male,4.0,63.0,Neutered,Moderate,Hard food,Wellness,4.0,No,Yes,No,12.0,3.0,Very Active,2.0,53.0,Yes,Yes
130,Dachshund,Small,Female,6.0,37.0,None,Very Active,Wet food,Pedigree,4.0,No,Yes,No,11.0,0.0,Active,1.0,77.0,Yes,
131,Labrador Retriever,Large,Male,10.0,79.0,None,Active,Hard food,Pedigree,3.0,No,Yes,No,9.0,1.0,None,4.0,75.0,Yes,No
132,Siberian Husky,Medium,Male,4.0,36.0,Neutered,Low,Hard food,Hill's Science,3.0,No,Yes,No,12.0,0.0,None,1.0,56.0,Yes,Yes
133,Labrador Retriever,Large,Male,4.0,20.0,Spayed,Active,Hard food,Purina,3.0,No,Yes,No,9.0,2.0,Moderate,1.0,67.0,Yes,Yes
134,Golden Retriever,Large,Male,,26.0,None,None,Special diet,Pedigree,3.0,No,Yes,No,8.0,2.0,Low,0.0,75.0,Yes,No
135,Yorkshire Terrier,Small,Female,9.0,50.0,Neutered,Moderate,Special diet,Purina,2.0,Yes,No,No,11.0,,Active,3.0,59.0,Yes,Yes
136,,Large,Female,6.0,50.0,Neutered,Moderate,Special diet,Nutro,1.0,Yes,No,No,9.0,1.0,Very Active,0.0,55.0,Yes,Yes
137,Siberian Husky,Medium,Male,4.0,27.0,None,Moderate,Home cooked,Special,1.0,Yes,No,No,10.0,2.0,None,0.0,42.0,Yes,Yes
138,Chihuahua,Small,Male,4.0,55.0,Spayed,Active,Wet food,Purina,0.0,No,No,No,12.0,1.0,Moderate,0.0,67.0,Yes,Yes
139,Poodle,Small,Female,3.0,51.0,Neutered,Very Active,,Nutro,2.0,Yes,No,No,12.0,1.0,Moderate,1.0,60.0,Yes,Yes
140,Labrador Retriever,Large,Male,4.0,43.0,Spayed,Active,Hard food,Purina,2.0,No,No,No,13.0,1.0,,1.0,63.0,Yes,Yes
141,German Shepherd,Large,Female,10.0,50.0,None,Active,Special diet,Pedigree,4.0,No,No,,9.0,3.0,Low,0.0,58.0,Yes,Yes
142,Beagle,Small,Male,4.0,62.0,Neutered,None,Hard food,Blue Buffalo,3.0,No,No,No,,2.0,Moderate,1.0,68.0,Yes,Yes
143,Yorkshire Terrier,Small,Male,,62.0,Spayed,,Wet food,Pedigree,1.0,No,Yes,No,12.0,1.0,None,1.0,46.0,Yes,No
144,Chihuahua,Small,Male,11.0,37.0,None,Active,Special diet,Hill's Science,3.0,No,No,No,10.0,2.0,Active,0.0,74.0,Yes,Yes
145,Golden Retriever,Large,Female,10.0,57.0,None,Low,Home cooked,Special,6.0,Yes,Yes,No,10.0,1.0,Moderate,0.0,51.0,Yes,No
146,Siberian Husky,Medium,Male,8.0,41.0,Neutered,Moderate,Special diet,Hill's Science,2.0,No,Yes,No,12.0,2.0,Active,0.0,76.0,Yes,Yes
147,Dachshund,Small,Male,2.0,33.0,None,None,,Purina,0.0,Yes,No,No,13.0,0.0,None,1.0,57.0,Yes,Yes
148,Labrador Retriever,Large,Female,4.0,71.0,Spayed,None,Special diet,Hill's Science,6.0,Yes,Yes,No,10.0,0.0,Low,1.0,48.0,Yes,Yes
149,Doberman,Large,Female,3.0,47.0,Neutered,Low,Wet food,Hill's Science,3.0,Yes,,No,14.0,0.0,Moderate,2.0,85.0,Yes,Yes
150,Yorkshire Terrier,Small,Male,3.0,44.0,Neutered,None,Home cooked,Special,1.0,Yes,Yes,No,10.0,0.0,Very Active,3.0,51.0,Yes,Yes
151,Rottweiler,Large,Male,10.0,61.0,Neutered,Active,Wet food,Royal Canin,0.0,Yes,Yes,No,10.0,0.0,Active,2.0,91.0,Yes,Yes
152,Chihuahua,Small,,11.0,34.0,Spayed,None,Hard food,Wellness,1.0,No,Yes,No,10.0,1.0,Active,0.0,53.0,Yes,No
153,Great Dane,Large,Male,3.0,78.0,Neutered,Low,Wet food,Blue Buffalo,5.0,No,No,No,9.0,2.0,Low,2.0,68.0,Yes,Yes
154,,Large,Female,9.0,48.0,None,None,,Royal Canin,4.0,No,Yes,,10.0,3.0,Very Active,1.0,84.0,Yes,No
155,Yorkshire Terrier,Small,Female,4.0,45.0,Neutered,,,Special,7.0,No,No,Yes,8.0,0.0,Low,2.0,53.0,Yes,Yes
156,Doberman,Large,Male,9.0,12.0,None,Active,Home cooked,Special,1.0,Yes,No,No,11.0,2.0,Very Active,3.0,87.0,Yes,Yes
157,Siberian Husky,Medium,Male,4.0,62.0,Neutered,Very Active,Hard food,Iams,3.0,No,No,No,13.0,2.0,Low,2.0,66.0,Yes,Yes
158,Chihuahua,Small,Male,12.0,74.0,Neutered,Moderate,Special diet,Nutro,5.0,Yes,Yes,No,12.0,2.0,Active,0.0,78.0,Yes,No
159,Labrador Retriever,Large,Female,,40.0,Spayed,Active,Hard food,Royal Canin,1.0,No,No,No,10.0,1.0,None,4.0,49.0,Yes,Yes
160,Beagle,Small,Male,11.0,62.0,Spayed,Low,Special diet,Pedigree,1.0,Yes,No,No,11.0,3.0,Low,3.0,83.0,Yes,Yes
161,Australian Shepherd,Medium,Female,7.0,19.0,None,Low,Wet food,Nutro,5.0,Yes,Yes,No,14.0,2.0,None,,43.0,Yes,No
162,Yorkshire Terrier,Small,Male,8.0,50.0,Spayed,,Special diet,Iams,2.0,Yes,Yes,No,11.0,2.0,Low,3.0,64.0,Yes,Yes
163,Siberian Husky,Medium,Female,7.0,84.0,Neutered,Active,Special diet,Wellness,0.0,Yes,No,No,12.0,1.0,Active,3.0,60.0,Yes,Yes
164,Golden Retriever,Large,Female,10.0,59.0,Spayed,Low,Special diet,Hill's Science,1.0,No,No,No,12.0,1.0,None,,45.0,Yes,Yes
165,Dachshund,Small,Female,4.0,23.0,Spayed,Very Active,Special diet,Nutro,3.0,Yes,Yes,No,13.0,3.0,Low,2.0,55.0,Yes,Yes
166,Siberian Husky,Medium,Male,2.0,66.0,None,Active,Hard food,Iams,2.0,Yes,No,No,10.0,3.0,None,0.0,69.0,Yes,Yes
167,Bulldog,Medium,Female,9.0,65.0,Neutered,Moderate,Wet food,Hill's Science,5.0,Yes,No,No,14.0,0.0,Low,0.0,58.0,Yes,No
168,Poodle,Small,,5.0,33.0,Spayed,Very Active,,Royal Canin,2.0,No,No,No,12.0,2.0,Very Active,2.0,64.0,,Yes
169,Labrador Retriever,Large,Female,13.0,58.0,Spayed,Moderate,Home cooked,Special,2.0,No,No,No,12.0,,Low,0.0,79.0,Yes,Yes
170,German Shepherd,Large,Female,12.0,47.0,None,Low,,Special,3.0,Yes,No,No,10.0,0.0,None,2.0,48.0,,Yes
171,Labrador Retriever,,Female,2.0,,None,Moderate,Special diet,Wellness,2.0,No,No,No,10.0,3.0,Active,3.0,72.0,Yes,Yes
172,Boxer,Medium,Male,,63.0,None,Active,Home cooked,Special,0.0,No,No,No,9.0,3.0,Active,2.0,84.0,Yes,Yes
173,Doberman,Large,Male,2.0,51.0,Spayed,Active,Hard food,Blue Buffalo,2.0,No,Yes,No,10.0,1.0,Low,0.0,70.0,Yes,Yes
174,Beagle,Small,Female,12.0,47.0,Spayed,Active,Hard food,,2.0,Yes,Yes,No,12.0,0.0,Moderate,0.0,63.0,Yes,No
